Pair.Name	Ligand	Receptor	Source	Databases	Evidence	PMIDs
A2M_LRP1	A2M	LRP1	known	HPMR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	1702392,10652313,12194978
AANAT_MTNR1A	AANAT	MTNR1A	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	12943195
AANAT_MTNR1B	AANAT	MTNR1B	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	12943195
ACE_AGTR2	ACE	AGTR2	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	11459796
ACE_BDKRB2	ACE	BDKRB2	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10748135
ADAM10_AXL	ADAM10	AXL	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	16227584,7822279
ADAM10_EPHA3	ADAM10	EPHA3	novel	HPRD,STRING.experiment,HPMR.Ligand,HPMR.Receptor	literature supported	16239146
ADAM12_ITGA9	ADAM12	ITGA9	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	10944520
ADAM12_ITGB1	ADAM12	ITGB1	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	10944520
ADAM12_SDC4	ADAM12	SDC4	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12509413
ADAM15_ITGA5	ADAM15	ITGA5	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	9914169,9516430
ADAM15_ITGA9	ADAM15	ITGA9	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	10944520
ADAM15_ITGAV	ADAM15	ITGAV	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9914169
ADAM15_ITGB1	ADAM15	ITGB1	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9914169,10944520
ADAM15_ITGB3	ADAM15	ITGB3	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	9516430
ADAM17_ERBB4	ADAM17	ERBB4	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	15534001
ADAM17_ITGA5	ADAM17	ITGA5	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	14970227
ADAM17_ITGB1	ADAM17	ITGB1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	14970227
ADAM17_NOTCH1	ADAM17	NOTCH1	novel	HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	10882063,9620803
ADAM23_ITGA5	ADAM23	ITGA5	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	10749942
ADAM23_ITGB3	ADAM23	ITGB3	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	10749942
ADAM28_ITGA4	ADAM28	ITGA4	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	11724793
ADAM2_CD9	ADAM2	CD9	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10518536
ADAM2_ITGA6	ADAM2	ITGA6	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	9889149
ADAM2_ITGA9	ADAM2	ITGA9	novel	STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	21060781
ADAM2_ITGB1	ADAM2	ITGB1	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9889149
ADAM2_ITGB7	ADAM2	ITGB7	novel		literature supported	21060781
ADAM9_ITGA3	ADAM9	ITGA3	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	15361064
ADAM9_ITGA6	ADAM9	ITGA6	known	HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10825303,15361064
ADAM9_ITGAV	ADAM9	ITGAV	known	HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	11162558,15361064
ADAM9_ITGB1	ADAM9	ITGB1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	10825303
ADAM9_ITGB5	ADAM9	ITGB5	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	11162558
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	10100920,8703026,10583729,16930633,11931347,8253796
ADCYAP1_SCTR	ADCYAP1	SCTR	novel	HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	1335692
ADCYAP1_VIPR1	ADCYAP1	VIPR1	known	HPMR,IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	11897681,9928018,11931347,16930633,8791009,12429744
ADCYAP1_VIPR2	ADCYAP1	VIPR2	known	IUPHAR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	16930633,11978642,9928018,11931347,8146174
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1	known	HPMR,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	12802337
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2	known	HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	12802337
ADM2_CALCR	ADM2	CALCR	known	IUPHAR,HPMR.Ligand,HPMR.Receptor	literature supported	15692146
ADM2_CALCRL	ADM2	CALCRL	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	14615490
ADM2_RAMP1	ADM2	RAMP1	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	12684503
ADM_CALCR	ADM	CALCR	known	IUPHAR,HPMR.Ligand,HPMR.Receptor	literature supported	15692146,12565884
ADM_CALCRL	ADM	CALCRL	known	HPMR,HPRD,HPMR.Ligand,HPMR.Receptor	literature supported	9620797
ADM_GPR182	ADM	GPR182	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	7592696
ADM_MRGPRX2	ADM	MRGPRX2	known	HPMR,IUPHAR,HPMR.Ligand,HPMR.Receptor	literature supported	16111673,15823563
ADM_RAMP2	ADM	RAMP2	known	HPMR,HPMR.Ligand,HPMR.Receptor	literature supported	9620797
AGRN_ATP1A3	AGRN	ATP1A3	novel	STRING.binding,	literature supported	16630822
AGRN_LRP4	AGRN	LRP4	novel		literature supported	18848351
AGRN_MUSK	AGRN	MUSK	known	HPMR,HPMR.Receptor	literature supported	8653787
AGRP_MC3R	AGRP	MC3R	known	HPMR,IUPHAR,HPRD,STRING.binding,HPMR.Ligand,HPMR.Receptor	literature supported	9311920,9819197,9893984,11747427
