ApprovedSymbol	UniProtID	HGNCID	ApprovedName	Consensus_Call	Taxon	Age	Class
A2M	P01023	7	alpha-2-macroglobulin	cytoplasm. secreted	Euteleostomi	454	Ligand
AANAT	Q16613	19	aralkylamine N-acetyltransferase	cytoplasm	Euteleostomi	454	Ligand
ACE	P12821	2707	angiotensin I converting enzyme	plasma membrane. secreted	Bilateria	910	Ligand
ADAM10	O14672	188	ADAM metallopeptidase domain 10	endomembrane system. golgi apparatus. nucleus. plasma membrane	Bilateria	910	Ligand
ADAM12	O43184	190	ADAM metallopeptidase domain 12	cytoplasm. golgi apparatus. plasma membrane. secreted	Bilateria	910	Ligand
ADAM15	Q13444	193	ADAM metallopeptidase domain 15	endomembrane system. plasma membrane	Theria	176	Ligand
ADAM17	P78536	195	ADAM metallopeptidase domain 17	nucleus. plasma membrane	Bilateria	910	Ligand
ADAM2	Q99965	198	ADAM metallopeptidase domain 2	plasma membrane	Mammalia	220	Ligand
ADAM23	O75077	202	ADAM metallopeptidase domain 23	plasma membrane. secreted	Euteleostomi	454	Ligand
ADAM28	Q9UKQ2	206	ADAM metallopeptidase domain 28	plasma membrane. secreted	Amniota	324	Ligand
ADAM9	Q13443	216	ADAM metallopeptidase domain 9	cytoplasm. nucleus. plasma membrane. secreted	Euteleostomi	454	Ligand
ADCYAP1	P18509	241	adenylate cyclase activating polypeptide 1 (pituitary)	secreted	Euteleostomi	454	Ligand
ADIPOQ	Q15848	13633	adiponectin, C1Q and collagen domain containing	secreted	Tetrapoda	361	Ligand
ADM	P35318	259	adrenomedullin	cytoplasm. secreted	Euteleostomi	454	Ligand
ADM2	Q7Z4H4	28898	adrenomedullin 2	secreted	Theria	176	Ligand
AGRN	O00468	329	agrin	plasma membrane. secreted	Deuterostomia	824	Ligand
AGRP	O00253	330	agouti related protein homolog (mouse)	golgi apparatus. secreted	Amniota	324	Ligand
AGT	P01019	333	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	secreted	Euteleostomi	454	Ligand
AHSG	P02765	349	alpha-2-HS-glycoprotein	secreted	Euteleostomi	454	Ligand
ALB	P02768	399	albumin	secreted	Tetrapoda	361	Ligand
AMELX	Q99217	461	amelogenin, X-linked	secreted	Theria	176	Ligand
AMELY	Q99218	462	amelogenin, Y-linked	secreted	Theria	176	Ligand
AMH	P03971	464	anti-Mullerian hormone	cytoplasm. secreted	Amniota	324	Ligand
ANGPT1	Q15389	484	angiopoietin 1	secreted	Euteleostomi	454	Ligand
ANGPT2	O15123	485	angiopoietin 2	secreted	Chordata	797	Ligand
ANGPT4	Q9Y264	487	angiopoietin 4	secreted	Theria	176	Ligand
ANGPTL1	O95841	489	angiopoietin-like 1	secreted	Amniota	324	Ligand
ANGPTL2	Q9UKU9	490	angiopoietin-like 2	secreted	Euteleostomi	454	Ligand
ANGPTL3	Q9Y5C1	491	angiopoietin-like 3	secreted	Euteleostomi	454	Ligand
ANGPTL4	Q9BY76	16039	angiopoietin-like 4	secreted	Euteleostomi	454	Ligand
ANXA1	P04083	533	annexin A1	cytoplasm. mitochondrion. nucleus	Euteleostomi	454	Ligand
APLN	Q9ULZ1	16665	apelin	secreted	Theria	176	Ligand
APOB	P04114	603	apolipoprotein B	cytoplasm. endoplasmic reticulum. golgi apparatus. secreted	Euteleostomi	454	Ligand
APOC3	P02656	610	apolipoprotein C-III	secreted	Theria	176	Ligand
APOD	P05090	612	apolipoprotein D	secreted	Deuterostomia	824	Ligand
APOE	P02649	613	apolipoprotein E	cytoplasm. secreted	Euteleostomi	454	Ligand
APP	P05067	620	amyloid beta (A4) precursor protein	cytoplasm. endoplasmic reticulum. endosome. golgi apparatus. nucleus. plasma membrane. secreted	Euteleostomi	454	Ligand
AREG	P15514	651	amphiregulin	plasma membrane	Amniota	324	Ligand
AREGB	P15514	34509	amphiregulin B	plasma membrane	Amniota	324	Ligand
ARF1	P84077	652	ADP-ribosylation factor 1	cytoplasm. endosome. golgi apparatus. golgi apparatus membrane	Eukaryota	1628	Ligand
ARTN	Q5T4W7	727	artemin	secreted	Euarchontoglires	91	Ligand
ASIP	P42127	745	agouti signaling protein	secreted	Theria	176	Ligand
AVP	P01185	894	arginine vasopressin	nucleus. secreted	Euteleostomi	454	Ligand
AZGP1	P25311	910	alpha-2-glycoprotein 1, zinc-binding	secreted	Theria	176	Ligand
B2M	P61769	914	beta-2-microglobulin	secreted	Amniota	324	Ligand
BCAN	Q96GW7	23059	brevican	secreted	Euteleostomi	454	Ligand
BDNF	P23560	1033	brain-derived neurotrophic factor	golgi apparatus. secreted	Euteleostomi	454	Ligand
BGN	P21810	1044	biglycan	secreted	Euteleostomi	454	Ligand
BMP10	O95393	20869	bone morphogenetic protein 10	secreted	Euteleostomi	454	Ligand
BMP15	O95972	1068	bone morphogenetic protein 15	secreted	Euteleostomi	454	Ligand
BMP2	P12643	1069	bone morphogenetic protein 2	secreted	Bilateria	910	Ligand
BMP3	P12645	1070	bone morphogenetic protein 3	secreted	Euteleostomi	454	Ligand
BMP4	P12644	1071	bone morphogenetic protein 4	secreted	Euteleostomi	454	Ligand
BMP5	P22003	1072	bone morphogenetic protein 5	cytoplasm. secreted	Bilateria	910	Ligand
BMP6	P22004	1073	bone morphogenetic protein 6	cytoplasm	Euarchontoglires	91	Ligand
BMP7	P18075	1074	bone morphogenetic protein 7	secreted	Bilateria	910	Ligand
BMP8B	P34820	1075	bone morphogenetic protein 8b	secreted	Euteleostomi	454	Ligand
BST1	Q10588	1118	bone marrow stromal cell antigen 1	secreted	Amniota	324	Ligand
BTC	P35070	1121	betacellulin	plasma membrane. secreted	Euteleostomi	454	Ligand
BTLA	Q7Z6A9	21087	B and T lymphocyte associated	plasma membrane	Eutheria	97	Ligand
C1QA	P02745	1241	complement component 1, q subcomponent, A chain	secreted	Human	0	Ligand
C1QB	P02746	1242	complement component 1, q subcomponent, B chain	secreted	Tetrapoda	361	Ligand
C1QTNF1	Q9BXJ1	14324	C1q and tumor necrosis factor related protein 1	secreted	Tetrapoda	361	Ligand
C1QTNF5	Q9BXJ0	14344	C1q and tumor necrosis factor related protein 5	secreted	NA	NA	Ligand
C1orf112	Q9NSG2	25565	chromosome 1 open reading frame 112	secreted	Deuterostomia	824	Ligand
C1orf194	Q5T5A4	32331	chromosome 1 open reading frame 194	secreted	Mammalia	220	Ligand
C1orf200	Q5SR53	32346	chromosome 1 open reading frame 200	secreted	Catarrhini	29	Ligand
C3	P01024	1318	complement component 3	endosome. secreted	Deuterostomia	824	Ligand
C4A	P0C0L4	1323	complement component 4A (Rodgers blood group)	secreted	NA	NA	Ligand
C4B	P0C0L5	1324	complement component 4B (Chido blood group)	secreted	NA	NA	Ligand
C4BPA	P04003	1325	complement component 4 binding protein, alpha	secreted	Tetrapoda	361	Ligand
C5	P01031	1331	complement component 5	secreted	Deuterostomia	824	Ligand
