ApprovedSymbol	ApprovedName	Class	UniProtID	HGNCID	Taxon
A2M	alpha-2-macroglobulin	ligand	P01023	7	Euteleostomi
AANAT	aralkylamine N-acetyltransferase	ligand	Q16613	19	Euteleostomi
ACE	angiotensin I converting enzyme	ligand	P12821	2707	Bilateria
ADAM10	ADAM metallopeptidase domain 10	ligand	O14672	188	Bilateria
ADAM12	ADAM metallopeptidase domain 12	ligand	O43184	190	Bilateria
ADAM15	ADAM metallopeptidase domain 15	ligand	Q13444	193	Theria
ADAM17	ADAM metallopeptidase domain 17	ligand	P78536	195	Bilateria
ADAM2	ADAM metallopeptidase domain 2	ligand	Q99965	198	Mammalia
ADAM23	ADAM metallopeptidase domain 23	ligand	O75077	202	Euteleostomi
ADAM28	ADAM metallopeptidase domain 28	ligand	Q9UKQ2	206	Amniota
ADAM9	ADAM metallopeptidase domain 9	ligand	Q13443	216	Euteleostomi
ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	ligand	P18509	241	Euteleostomi
ADIPOQ	adiponectin, C1Q and collagen domain containing	ligand	Q15848	13633	Tetrapoda
ADM	adrenomedullin	ligand	P35318	259	Euteleostomi
ADM2	adrenomedullin 2	ligand	Q7Z4H4	28898	Theria
AGRN	agrin	ligand	O00468	329	Deuterostomia
AGRP	agouti related protein homolog (mouse)	ligand	O00253	330	Amniota
AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	ligand	P01019	333	Euteleostomi
AHSG	alpha-2-HS-glycoprotein	ligand	P02765	349	Euteleostomi
ALB	albumin	ligand	P02768	399	Tetrapoda
AMELX	amelogenin, X-linked	ligand	Q99217	461	Theria
AMELY	amelogenin, Y-linked	ligand	Q99218	462	Theria
AMH	anti-Mullerian hormone	ligand	P03971	464	Amniota
ANGPT1	angiopoietin 1	ligand	Q15389	484	Euteleostomi
ANGPT2	angiopoietin 2	ligand	O15123	485	Chordata
ANGPT4	angiopoietin 4	ligand	Q9Y264	487	Theria
ANGPTL1	angiopoietin-like 1	ligand	O95841	489	Amniota
ANGPTL2	angiopoietin-like 2	ligand	Q9UKU9	490	Euteleostomi
ANGPTL3	angiopoietin-like 3	ligand	Q9Y5C1	491	Euteleostomi
ANGPTL4	angiopoietin-like 4	ligand	Q9BY76	16039	Euteleostomi
ANXA1	annexin A1	ligand	P04083	533	Euteleostomi
APLN	apelin	ligand	Q9ULZ1	16665	Theria
APOB	apolipoprotein B	ligand	P04114	603	Euteleostomi
APOC3	apolipoprotein C-III	ligand	P02656	610	Theria
APOD	apolipoprotein D	ligand	P05090	612	Deuterostomia
APOE	apolipoprotein E	ligand	P02649	613	Euteleostomi
APP	amyloid beta (A4) precursor protein	ligand	P05067	620	Euteleostomi
AREG	amphiregulin	ligand	P15514	651	Amniota
AREGB	amphiregulin B	ligand	P15514	34509	Amniota
ARF1	ADP-ribosylation factor 1	ligand	P84077	652	Eukaryota
ARTN	artemin	ligand	Q5T4W7	727	Euarchontoglires
ASIP	agouti signaling protein	ligand	P42127	745	Theria
AVP	arginine vasopressin	ligand	P01185	894	Euteleostomi
AZGP1	alpha-2-glycoprotein 1, zinc-binding	ligand	P25311	910	Theria
B2M	beta-2-microglobulin	ligand	P61769	914	Amniota
